van, pasture, False
bowl, instruction, False
screwdriver, refined, False
miss, fail, True
rap, style, True
catfish, country, False
group, band, False
obverse, alternative, True
cube, dice, False
seat, jet, False
elephant, overnight, False
clarinet, mark, False
hotel, county, False
garlic, buckle, False
sofa, serious, False
fire, marvel, False
piano, large, False
construct, form, False
grasshopper, creature, True
outside, hospital, False
dress, hacking, False
woodpecker, general, False
desk, win, False
catfish, qualify, False
beaver, defeat, False
hatchet, free, False
snowball, get, False
sandstorm, storm, True
preparedness, disarray, False
number, scale, False
pilot, helicopter, False
couch, artifact, True
fox, creature, True
clarinet, bass, False
set, member, False
pub, life, False
cello, hear, False
bat, wing, False
cloak, teach, False
contradiction, confirmation, False
plant, meat, False
trumpet, device, True
ant, stead, False
robe, offer, False
bus, battleship, False
mouth, human, False
sound, nothing, False
screwdriver, axe, False
separate, change, True
tiger, security, False
lion, electrification, False
steamboat, boat, True
elephant, horse, False
steroid, cholesterol, False
piano, instrument, True
latin, genre, True
broccoli, vegetable, True
rumba, genre, True
rocksteady, genre, True
swan, eagle, False
saw, egotist, False
nose, face, False
house, blue, False
box, intervene, False
baby, family, False
goat, whale, False
owl, spread, False
skin, giraffe, False
pear, algorithm, False
guitar, teach, False
squirrel, bishop, False
cold, cool, False
parsley, onion, False
blade, shovel, False
jet, loud, False
car, part, False
function, part, False
floor, hotel, False
tiger, establish, False
motorcycle, car, False
flute, squash, False
jar, require, False
hat, impunity, False
glider, laminate, False
villa, glove, False
goose, stipulation, False
sheep, rat, False
biology, morphology, False
stand, support, False
hanger, wardrobe, False
ball, human, False
gorilla, mechanical, False
trumpet, study, False
net, sieve, False
motorcycle, disable, False
place, spot, False
knife, rig, False
club, heart, False
tiger, join, False
man, nature, False
muzzle, rat, False
catfish, organizational, False
strawberry, citadel, False
form, genre, True
result, end, True
band, music, True
hawk, windmill, False
roof, construction, False
wheat, grass, True
key, box, False
shovel, rake, False
cabinet, place, True
piano, investor, False
intercept, element, True
advance, move, True
scooter, contract, False
pub, construction, True
fabric, coat, False
scooter, complexion, False
barley, cereal, True
cottage, flavour, False
hotel, shatter, False
grasshopper, ant, False
guitar, listen, False
train, pair, False
steal, give, False
windshield, ambulance, False
spoon, keep, False
deer, marry, False
cockroach, ensemble, False
elephant, mental, False
sheep, breakwater, False
word, number, False
horse, fur, False
invasion, genre, True
jet, let, False
automobile, steel, False
spoon, cook, False
metal, fridge, False
spend, pay, True
dirge, genre, True
track, opus, True
bowl, numerous, False
sieve, info, False
spoon, make, False
fork, tool, True
pen, object, True
vest, overview, False
strawberry, pronounce, False
squirrel, gorilla, False
gorilla, bull, False
onion, armoury, False
skunk, tie, False
saxophone, small, False
steel, screwdriver, False
bottle, persist, False
glass, restaurant, False
bottle, paved, False
wardrobe, neutrality, False
funnel, frigate, False
pig, semi, False
drug, useful, False
cow, sun, False
game, toy, True
saxophone, cheap, False
knot, knit, False
mug, existence, False
butterfly, notable, False
cat, survey, False
bomber, discomfort, False
lion, great, False
ear, pig, False
jet, hat, False
giraffe, beaver, False
small, adult, False
hospital, create, False
ant, conceive, False
head, dove, False
computer, complex, False
metal, solid, False
rumour, truth, False
grapefruit, predictive, False
woodpecker, return, False
leaf, sheet, True
cat, ear, False
tomato, vegetable, True
fork, anniversary, False
bridle, donkey, False
celery, food, True
vest, shirt, False
rabbit, foolhardy, False
hall, place, True
library, seek, False
contract, material, True
fuel, bomber, False
onion, lettuce, False
robe, statistical, False
point, chisel, False
van, smart, False
violin, include, False
sheep, deer, False
catch, get, True
screwdriver, aware, False
stem, cauliflower, False
wrench, hatchet, False
jungle, influence, True
tiger, cat, False
cat, mom, False
surface, desk, False
voice, genre, True
restaurant, learn, False
tank, car, False
ceiling, wall, False
beaver, progression, False
marcus, leader, True
sieve, do, False
clove, garlic, False
tank, scooter, False
inside, bowl, False
spinach, voter, False
b, microorganism, True
rabbit, polio, False
peach, resonant, False
saw, to, False
silk, smooth, False
bed, actual, False
hornet, ant, False
turnip, celery, False
pup, kitten, False
shovel, other, False
motorcycle, assault, False
truck, inhibit, False
shovel, bannister, False
helicopter, review, False
violin, different, False
villa, disease, False
box, recycle, False
carrot, subcontractor, False
saxophone, piano, False
ocean, place, True
train, cause, False
carp, memorial, False
flute, allocate, False
bookcase, fighting, False
maybeshewill, band, True
fighter, n, False
bear, ranking, False
weapon, slug, False
flute, priory, False
guitar, go, False
fruit, skin, False
jar, upgrade, False
bus, give, False
tiger, elephant, False
tail, donkey, False
fighter, other, False
violin, small, False
bottle, local, False
work, book, True
button, shirt, False
saxophone, mushroom, False
clarinet, saxophone, False
recreation, play, False
carrot, deprivation, False
donkey, necessary, False
hospital, barley, False
turn, change, True
bomber, butterfly, False
vest, rounded, False
bull, circulate, False
hornet, effectiveness, False
dot, dash, False
sweater, team, False
mug, bulletin, False
horse, jus, False
blade, chisel, False
fox, exhaust, False
fork, leg, False
elephant, bear, False
beaver, powder, False
cod, column, False
gorilla, form, False
helm, head, False
tiger, content, False
